company_name,proper_website_url,country,skip_reason
Wopno Outsourcing Services,,AU,No website URL
Outsourced Professional Solutions,https://www.opsolutions.com.au,AU,Scrape failed / timeout
Jess Adams atrealty - Independent Albany Real Estate Agents,https://jessadamsrealty.com.au,AU,Scrape failed / timeout
Diime technology,https://diimetechnology.com,AU,Scrape failed / timeout
SwitchEnthusiast,https://9cc20b-2.myshopify.com,AU,Scrape failed / timeout
hbnaturals,,AU,No website URL
PSP Coast,,AU,No website URL
Diamond Collar Gear,,AU,No website URL
PS Partner,,AU,No website URL
The Custom Case,https://thecustomcase.net,AU,Scrape failed / timeout
virtual assistant,,AU,No website URL
Pixel Perfect Web Design,http://pixelperfectweb.com.au,,Scrape failed / timeout
Millicent Real Estate,,AU,No website URL
Mount Gambier Property Network - APN Real Estate Group,https://www.adelaidepropertynetwork.com.au,AU,Scrape failed / timeout
Turner Real Estate,https://www.turnerrealestate.com.au,AU,Scrape failed / timeout
Toll Ipec,,AU,No website URL
Keeping It Realty - Boutique Adelaide Real Estate Agency,https://www.keepingitrealty.com.au,AU,Scrape failed / timeout
Nolzies Goods,,AU,No website URL
DevineDiva,,AU,No website URL
BroHome,,AU,No website URL
The circle online,,AU,No website URL
Angie & Co,,AU,No website URL
MJJT,,AU,No website URL
Isabelle Lette,,AU,No website URL
Wilsons Warrnambool & District Real Estate,https://wilsonswarrnambool.com.au,AU,Scrape failed / timeout
Sacred Drum,,AU,No website URL
Shyjac,,,No website URL
Zebros,,,No website URL
Southern Grampians Livestock & Real Estate,https://www.sglrealestate.com.au,AU,No email or phone found
Charles Stewart Western Victoria,http://charlesstewart.com.au/about-us/our-offices,AU,Scrape failed / timeout
Blue Poles,,AU,No website URL
Gaerwood B/B 5 Star,,AU,No website URL
Rennie's Workers Accommodation,,AU,No website URL
Menzies Hotel,,AU,No website URL
Allestree Beach Holiday Units,http://allestreebeachholidayunits.com,AU,Scrape failed / timeout
National Smokehouse Hotel,https://m.facebook.com/p/National-Smokehouse-Coleraine-61557570722066,AU,Scrape failed / timeout
Coleraine Hotel,http://www.colerainehotel.com.au,AU,Scrape failed / timeout
Heywood Hotel,https://facebook.com/heywoodhotel3304,AU,Scrape failed / timeout
Outsourcing Group,,AU,No website URL
Nick Mousellis Real Estate - Eview Group Proud Member,https://nickmousellis.eview.com.au,AU,Scrape failed / timeout
REDDY G REAL ESTATE AGENTS,http://www.reddyg.com.au,AU,Scrape failed / timeout
Platform DB,https://platformdb.com,AU,No email or phone found
RE/MAX IMPACT,https://remaximpact.com.au,AU,Scrape failed / timeout
4069 Real Estate,https://www.4069realestate.com.au,AU,Scrape failed / timeout
Henzells Real Estate Agency,https://henzells.com.au,AU,Scrape failed / timeout
RE/MAX Partners Real Estate Hervey Bay,https://www.remaxpartnersrealestate.com.au,AU,Scrape failed / timeout
Miriam Vale Hotel,http://www.miriamvalehotel.com.au,AU,Scrape failed / timeout
Sutton’s Regal Realty,https://www.suttonsregalrealty.com,,Scrape failed / timeout
Page & Pearce - Real Estate Townsville,https://pagepearce.com.au,AU,Scrape failed / timeout
Daring and Young Property,https://daringandyoung.com,AU,Scrape failed / timeout
Medicine on Edison,,AU,No website URL
McGrath Estate Agents Townsville,https://www.mcgrath.com.au/offices/townsville,AU,Scrape failed / timeout
Mooney Street Medical,https://www.mooneymedical.com.au,AU,Scrape failed / timeout
Kirwan FAMILY CLINIC,https://www.facebook.com/avenuesfmc,AU,Scrape failed / timeout
Mackay City Property,https://mackaycityproperty.com.au,AU,Scrape failed / timeout
Smart Rentals Townsville - Rental and Property Management,https://www.smartrentalstsv.com.au,AU,No email or phone found
REMAX Select Mackay,https://www.remax.com.au/select,AU,Scrape failed / timeout
East Sydney Realty (Zetland),http://sydneymansion.com,AU,No email or phone found
Oasis Exchange Hotel,http://www.oasisexchangehotel-torrenscreek.com.au,AU,Scrape failed / timeout
Three Rivers Hotel,http://www.threerivershotel.com.au,AU,Scrape failed / timeout
Newmarket Hotel Townsville,,AU,No website URL
Commercial Hotel,,AU,No website URL
Courty Hotel,,AU,No website URL
Focus Realty,,AU,No website URL
McGrath Estate Agents Mackay,https://www.mcgrath.com.au/offices/421-mackay,AU,Scrape failed / timeout
Spanny's Whitsunday Real Estate,https://www.facebook.com/groups/872859666132843,AU,Scrape failed / timeout
Cutting Edge Property - Townsville Real Estate,http://www.cuttingedgeproperty.com.au,,Scrape failed / timeout
White Picket Real Estate,http://www.whitepicketrealestate.com.au/property,AU,Scrape failed / timeout
Burgess Rawson Townsville,https://www.burgessrawson.com.au/offices/townsville,AU,Scrape failed / timeout
Mint Apartment Management Pty Ltd,,AU,No website URL
Queensland Rural - Livestock & Property,https://www.qldrural.com.au,AU,No email or phone found
MOVE Marketing,http://movemarketing.com.au,AU,Scrape failed / timeout
Petton Lifestyle Business,http://www.pettonlifestyle.com,AU,Scrape failed / timeout
Little Bee Marketing,https://www.littlebeemarketing.com.au,AU,No email or phone found
wiipersonalizeit,,AU,No website URL
Digigami,http://digigami.au,,Scrape failed / timeout
Copley,,AU,No website URL
Vulmain,https://www.vulmain.com,AU,Scrape failed / timeout
Aqcent,,AU,No website URL
Mojito Solutions,,AU,No website URL
FortuneGen,,AU,No website URL
Lizzie's Custom Cut's,,AU,No website URL
IlluminationG,,AU,No website URL
katarinamaireriki,,AU,No website URL
Riddick,http://www.riddick.com.au,AU,Scrape failed / timeout
Axpress,,AU,No website URL
PrimeFinds Australia,,AU,No website URL
NEO,,AU,No website URL
Advanced Sportz,,,No website URL
Walto's Crest,,AU,No website URL
Innovz'home,,AU,No website URL
EGO Fun Australia,,AU,No website URL
Mech Seals Online,http://mechsealsonline.com.au,AU,Scrape failed / timeout
Lucif Designs - Coffee Mugs,,AU,No website URL
Modded Culture,https://www.moddedculture.store,AU,Scrape failed / timeout
bigdogtec,,AU,No website URL
Bowen Business Machines,,AU,No website URL
Tower Medical Centre,,AU,No website URL
Independent Living Specialists (ILS) - Townsville Showroom,https://ilsau.com.au/store/independent-living-specialists-townsville-mobility-specialist-store,AU,Scrape failed / timeout
Jess Ball Design,https://jessballdesign.com.au,,Scrape failed / timeout
Elite Choice Real Estate,https://www.elitechoicerealestate.com.au,AU,Scrape failed / timeout
